_link,_link_daily_16,dt,rain,pressure,humidity,uvi,speed,deg,clouds,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,snow
2.data.8,2,1490162400,,790.56,0,9.1,0.65,262,0,287.84,273.87,287.84,276.31,286.25,273.87,0.01
2.data.9,2,1490248800,0.2,789.54,0,9.1,0.58,271,0,289.08,273.25,289.08,278.02,288.06,273.25,
2.data.10,2,1490335200,0.31,790.5,0,9.1,0.6,251,0,290.51,276,290.51,279.46,288.44,276,
2.data.11,2,1490421600,,790.91,0,9.1,0.72,262,1,290.91,277.51,290.91,278.02,287.6,277.51,0.03
2.data.12,2,1490508000,,790.04,0,9.1,0.63,148,28,290.32,278.79,290.32,281.03,287.87,278.79,0.11
2.data.13,2,1490594400,3.66,791.55,0,9.1,0.6,168,67,288.95,279.25,288.95,280.36,284.65,279.25,1.25
2.data.14,2,1490680800,8.4,792.56,0,9.1,0.82,186,42,285.5,278.1,285.5,278.1,281.73,279.04,1.89
2.data.15,2,1490767200,,789.81,0,9.1,0.78,43,8,274.7,274.7,274.7,274.7,274.7,274.7,0.01
3.data.0,3,1489474800,,1005.33,54,7.15,2.05,147,12,300.62,288.21,301.97,288.21,300.08,289.08,
3.data.1,3,1489561200,,1005.01,51,7.25,1.89,175,20,298.44,285.48,301.37,290.51,300.35,285.48,
3.data.2,3,1489647600,,1003.31,52,7.42,2.08,302,0,298.63,285.82,300.84,292.26,299.67,285.82,
3.data.3,3,1489734000,,999.16,0,7.4,2.71,305,0,297.03,285.85,298.95,289.86,298.95,285.85,
3.data.4,3,1489820400,4.33,998.43,0,7.81,2.07,194,85,296.92,287.71,299.4,290.66,299.4,287.71,
3.data.5,3,1489906800,0.5,999.75,0,8.67,3.36,92,2,296.45,287.69,299.02,289.8,299.02,287.69,
3.data.6,3,1489993200,,1002.25,0,8.67,1.45,0,0,297.95,285.93,299.62,290.3,299.62,285.93,
3.data.7,3,1490079600,,1001.29,0,8.67,2.73,282,26,300.21,287.65,301.72,293.09,301.72,287.65,
3.data.8,3,1490166000,,1000.51,0,8.67,1.51,238,0,302.14,290.07,305.35,294.81,305.35,290.07,
3.data.9,3,1490252400,0.74,997.06,0,8.67,3.05,253,31,301.83,292,304.91,296.02,304.91,292,
3.data.10,3,1490338800,,998.02,0,8.67,3.32,261,6,301.81,293.2,303.49,293.31,303.49,293.2,
3.data.11,3,1490425200,,998.83,0,8.67,2.87,307,4,302.86,289.76,303.25,296.22,303.25,289.76,
3.data.12,3,1490511600,0.27,997.95,0,8.67,3.46,313,79,300.72,293.34,301.37,294.58,301.37,293.34,
3.data.13,3,1490598000,,998.86,0,8.67,3.24,323,10,301.55,290.65,303.45,293.16,303.45,290.65,
3.data.14,3,1490684400,,1001.9,0,8.67,3.42,322,0,301.45,289.79,303.48,293.35,303.48,289.79,
3.data.15,3,1490770800,,999.55,0,8.67,1.35,309,57,290.2,290.2,290.2,290.2,290.2,290.2,
4.data.0,4,1489395600,0.43,1006.85,0,3.09,3.2,44,53,285.33,277.97,285.33,279.36,280.94,277.97,
4.data.1,4,1489482000,0.95,991.08,83,3.19,4.13,60,76,281.66,277.1,281.9,277.1,279.71,277.28,
4.data.2,4,1489568400,0.25,993.96,94,3.01,3.76,41,80,278.97,275.65,279.95,275.65,279.13,275.93,
4.data.3,4,1489654800,3.17,990.04,97,3.2,3.51,244,92,279.79,276.01,279.79,276.01,278.73,276.86,
4.data.4,4,1489741200,0.33,1012.47,0,2.79,2.05,317,30,280.8,272.36,280.8,272.36,276.71,277.43,
4.data.5,4,1489827600,0.48,1010.58,0,3.36,2.29,242,21,281.5,272.69,281.5,272.69,276.26,276.57,
4.data.6,4,1489914000,,1008.61,0,3.3,2.27,166,1,283.87,273.73,283.87,273.73,277.1,277.3,
4.data.7,4,1490000400,1.9,1002.01,0,3.3,4.36,154,34,285.22,278.05,285.22,278.85,280.1,278.05,
4.data.8,4,1490086800,14.44,995.72,0,3.3,1.86,289,52,284.12,279.07,284.12,279.07,280.24,280.81,
4.data.9,4,1490173200,0.32,1013.61,0,3.3,3.34,279,5,283.15,277.4,283.15,277.4,278.56,278.69,
4.data.10,4,1490259600,0.38,1013.07,0,3.3,2.15,276,14,283.16,273.3,283.16,273.3,277.97,279.78,
4.data.11,4,1490346000,,1013.2,0,3.3,2,65,68,282.89,275.36,282.89,275.36,279.01,276.61,
4.data.12,4,1490432400,,1008.32,0,3.3,3.8,58,5,286.7,278.31,286.7,278.44,281.22,278.31,
4.data.13,4,1490518800,2.54,1003.89,0,3.3,3.09,51,67,286.07,279.97,286.07,280.45,282.58,279.97,
4.data.14,4,1490605200,0.85,1006.67,0,3.3,2.74,253,76,284.9,279.04,284.9,279.04,281.56,281.65,
4.data.15,4,1490691600,0.73,1016.53,0,3.3,2.83,170,32,287.83,279.65,287.83,279.65,283.6,280.4,
4.data.16,4,1490778000,,1019.41,0,3.3,2.04,113,7,279.65,279.65,279.65,279.65,279.65,279.65,
5.data.0,5,1489471200,0.96,708.98,65,9.13,0.4,212,8,284.64,269.81,284.64,269.81,275.66,284.15,0.2
5.data.1,5,1489557600,,709.79,58,8.88,0.29,193,0,278.34,270.01,279.27,271.76,276.5,270.01,0
5.data.2,5,1489644000,2.59,707.85,57,9.3,0.53,179,36,278.23,270.22,278.23,272.41,274.27,270.22,1.01
5.data.3,5,1489730400,9.8,787.6,0,8.37,0.83,215,17,283.83,276.06,283.83,276.06,279.1,276.38,4.18
5.data.4,5,1489816800,2.2,788.48,0,7.98,0.74,201,17,283.37,272.76,283.37,276.06,280.5,272.76,1.35
5.data.5,5,1489903200,2.05,790,0,9.1,0.69,205,41,284.95,274.89,284.95,274.95,281.87,274.89,2.05
5.data.6,5,1489989600,1.97,790.08,0,9.1,0.85,240,26,283.35,272.73,283.35,273.35,281.32,272.73,1.35
5.data.7,5,1490076000,,790.94,0,9.1,0.5,291,0,287.06,271.35,287.06,274.74,285.12,271.35,
5.data.8,5,1490162400,,790.56,0,9.1,0.65,262,0,287.84,273.87,287.84,276.31,286.25,273.87,0.01
5.data.9,5,1490248800,0.2,789.54,0,9.1,0.58,271,0,289.08,273.25,289.08,278.02,288.06,273.25,
5.data.10,5,1490335200,0.31,790.5,0,9.1,0.6,251,0,290.51,276,290.51,279.46,288.44,276,
5.data.11,5,1490421600,,790.91,0,9.1,0.72,262,1,290.91,277.51,290.91,278.02,287.6,277.51,0.03
5.data.12,5,1490508000,,790.04,0,9.1,0.63,148,28,290.32,278.79,290.32,281.03,287.87,278.79,0.11
5.data.13,5,1490594400,3.66,791.55,0,9.1,0.6,168,67,288.95,279.25,288.95,280.36,284.65,279.25,1.25
5.data.14,5,1490680800,8.4,792.56,0,9.1,0.82,186,42,285.5,278.1,285.5,278.1,281.73,279.04,1.89
5.data.15,5,1490767200,,789.81,0,9.1,0.78,43,8,274.7,274.7,274.7,274.7,274.7,274.7,0.01
6.data.0,6,1489395600,,1017.38,0,1.62,1.66,208,36,277.68,265.39,277.68,265.39,269.14,269.32,
6.data.1,6,1489482000,,1019.69,100,1.59,0.48,86,32,276.8,266.05,277.6,266.05,274.81,269.72,
6.data.2,6,1489568400,,1011.31,97,1.77,3.81,189,0,274.62,264.23,277.15,275.3,276.23,264.23,0.02
6.data.3,6,1489654800,0.38,1003.74,100,2.04,1.71,228,80,275.19,268.01,275.97,268.01,274.63,274.66,0.79
6.data.4,6,1489741200,0.23,1004.37,0,1.76,1.6,231,13,279.35,270.26,279.35,270.26,272.76,273.58,
6.data.5,6,1489827600,0.89,998.02,0,1.77,8.31,191,87,279,274.52,279,275.44,276.41,274.52,
6.data.6,6,1489914000,6.5,992.4,0,1.9,11.03,190,80,279.22,275.3,279.22,279.08,278.25,275.3,0
6.data.7,6,1490000400,7.56,994.72,0,1.9,7.09,183,98,280.37,277.7,280.37,277.7,278.55,279.55,
6.data.8,6,1490086800,4.49,1000.78,0,1.9,5.98,186,98,280.02,278.21,280.02,278.42,279.14,278.21,
6.data.9,6,1490173200,0.92,1006.12,0,1.9,4.23,106,99,279.65,275.25,279.65,275.25,277.41,278.39,0.01
6.data.10,6,1490259600,2.63,1009.22,0,1.9,8.1,51,86,276.81,274.28,276.81,275.8,276.07,274.28,0.82
6.data.11,6,1490346000,1.31,1016.44,0,1.9,7.62,49,49,278.64,273.96,278.64,273.96,275.51,275.91,0.08
6.data.12,6,1490432400,0.62,1015.01,0,1.9,1.78,142,68,278.9,270.59,278.9,270.59,274.37,275.11,0.02
6.data.13,6,1490518800,1.62,1010.58,0,1.9,1.01,302,16,281.22,275.05,281.22,275.05,276.68,276.22,
6.data.14,6,1490605200,0.47,1011.33,0,1.9,5.78,72,93,275.55,268.44,275.55,268.44,272.66,275.45,0.32
6.data.15,6,1490691600,,1024.03,0,1.9,3.69,77,1,276.78,265.8,276.78,265.8,270.5,270.45,
6.data.16,6,1490778000,,1025.9,0,1.9,1.3,92,0,265.8,265.8,265.8,265.8,265.8,265.8,
7.data.0,7,1489474800,,971.61,25,10.68,5.1,78,0,307.13,292.91,307.81,292.91,305.7,294.88,
7.data.1,7,1489561200,,972.59,26,10.59,4.64,123,0,303.34,288.38,305.92,295.46,305.3,288.38,
7.data.2,7,1489647600,0.5,971.46,38,11.3,2.23,179,0,303.93,293.21,306.29,293.21,303.07,293.57,
7.data.3,7,1489734000,1.19,975.05,0,10.46,3.46,152,1,306.28,293.6,306.5,296.06,306.5,293.6,
7.data.4,7,1489816800,,974.72,0,10.98,2.56,75,0,306.82,290.56,307.05,293.56,307.05,290.56,
7.data.5,7,1489903200,,974.62,0,10.54,1.31,41,0,307.55,290.84,307.67,295.25,307.67,290.84,
7.data.6,7,1489989600,,975.71,0,10.54,2.22,32,0,307.75,291.18,307.87,298.05,307.87,291.18,
7.data.7,7,1490076000,,977.17,0,10.54,4.26,87,0,307.16,292.6,307.67,295.14,307.67,292.6,
7.data.8,7,1490162400,,977.81,0,10.54,3.31,74,0,307.74,289.92,308.2,293.91,308.2,289.92,
7.data.9,7,1490248800,,975.17,0,10.54,2,132,0,309.43,290.05,309.43,295.52,309.31,290.05,
7.data.10,7,1490335200,,974.51,0,10.54,2.39,214,0,309.96,291.4,309.96,298.26,309.69,291.4,
7.data.11,7,1490421600,0.41,974.11,0,10.54,4.21,226,6,310.21,295.26,310.21,299.57,309.75,295.26,
7.data.12,7,1490508000,2.94,973.23,0,10.54,1.97,279,32,309.02,297.78,309.02,297.78,308.07,297.94,
7.data.13,7,1490594400,5.28,974.14,0,10.54,0.52,79,17,307.3,294.9,307.3,295.91,305.25,294.9,
7.data.14,7,1490680800,0.68,977.78,0,10.54,2.76,81,4,305.8,292.09,305.8,295.5,305.53,292.09,
7.data.15,7,1490767200,,975.84,0,10.54,1.25,109,0,291.65,291.65,291.65,291.65,291.65,291.65,
8.data.0,8,1489471200,0.96,708.98,65,9.13,0.4,212,8,284.64,269.81,284.64,269.81,275.66,284.15,0.2
8.data.1,8,1489557600,,709.79,58,8.88,0.29,193,0,278.34,270.01,279.27,271.76,276.5,270.01,0
8.data.2,8,1489644000,2.59,707.85,57,9.3,0.53,179,36,278.23,270.22,278.23,272.41,274.27,270.22,1.01
8.data.3,8,1489730400,9.8,787.6,0,8.37,0.83,215,17,283.83,276.06,283.83,276.06,279.1,276.38,4.18
8.data.4,8,1489816800,2.2,788.48,0,7.98,0.74,201,17,283.37,272.76,283.37,276.06,280.5,272.76,1.35
8.data.5,8,1489903200,2.05,790,0,9.1,0.69,205,41,284.95,274.89,284.95,274.95,281.87,274.89,2.05
8.data.6,8,1489989600,1.97,790.08,0,9.1,0.85,240,26,283.35,272.73,283.35,273.35,281.32,272.73,1.35
8.data.7,8,1490076000,,790.94,0,9.1,0.5,291,0,287.06,271.35,287.06,274.74,285.12,271.35,
8.data.8,8,1490162400,,790.56,0,9.1,0.65,262,0,287.84,273.87,287.84,276.31,286.25,273.87,0.01
8.data.9,8,1490248800,0.2,789.54,0,9.1,0.58,271,0,289.08,273.25,289.08,278.02,288.06,273.25,
8.data.10,8,1490335200,0.31,790.5,0,9.1,0.6,251,0,290.51,276,290.51,279.46,288.44,276,
8.data.11,8,1490421600,,790.91,0,9.1,0.72,262,1,290.91,277.51,290.91,278.02,287.6,277.51,0.03
8.data.12,8,1490508000,,790.04,0,9.1,0.63,148,28,290.32,278.79,290.32,281.03,287.87,278.79,0.11
8.data.13,8,1490594400,3.66,791.55,0,9.1,0.6,168,67,288.95,279.25,288.95,280.36,284.65,279.25,1.25
8.data.14,8,1490680800,8.4,792.56,0,9.1,0.82,186,42,285.5,278.1,285.5,278.1,281.73,279.04,1.89
8.data.15,8,1490767200,,789.81,0,9.1,0.78,43,8,274.7,274.7,274.7,274.7,274.7,274.7,0.01
9.data.0,9,1489395600,8.12,1016.37,0,3,3.29,274,86,283.03,281.49,283.03,281.49,282.04,281.64,
9.data.1,9,1489482000,15.66,1027.39,100,3.23,4.68,248,92,281.29,280.95,281.29,280.95,281.11,281.24,
9.data.2,9,1489568400,1.45,1030.19,100,3.02,4.56,32,92,280.92,280.92,281.65,281.65,281.08,281.18,
9.data.3,9,1489654800,0.33,1028.05,100,3.22,5.26,278,76,280.94,280.46,281.13,280.46,281.13,280.81,
9.data.4,9,1489741200,0.27,1022.4,0,2.73,3.22,354,31,281.1,279.46,281.1,279.46,280.56,280.38,
9.data.5,9,1489827600,,1021.33,0,3.42,2.93,264,4,280.65,279.19,280.65,279.19,279.91,279.57,
9.data.6,9,1489914000,,1019.55,0,3.28,3.05,145,10,281.37,280.08,281.37,280.08,280.3,280.1,
9.data.7,9,1490000400,1.13,1012.75,0,3.28,5.93,130,8,282.17,281.15,282.17,282,281.55,281.15,
9.data.8,9,1490086800,3.27,1007.88,0,3.28,10.6,270,75,281.97,281.12,282.41,281.12,281.34,282.41,
9.data.9,9,1490173200,,1024.36,0,3.28,6.45,292,0,282.35,280.79,282.35,281.05,281.51,280.79,
9.data.10,9,1490259600,,1023.2,0,3.28,2.24,249,19,282.01,280,282.01,280,281.17,281.48,
9.data.11,9,1490346000,,1022.52,0,3.28,5.67,74,63,281.94,280.41,281.94,280.86,281.66,280.41,
9.data.12,9,1490432400,1.51,1017.44,0,3.28,6.54,62,17,283.5,281.46,283.5,282.04,282.57,281.46,
9.data.13,9,1490518800,4.15,1013.41,0,3.28,3.36,54,67,283.12,282.2,283.12,282.2,282.48,282.37,
9.data.14,9,1490605200,0.42,1017.41,0,3.28,6.35,262,51,282.4,281.34,282.4,281.34,281.76,281.75,
9.data.15,9,1490691600,,1026.67,0,3.28,6.3,126,24,283.38,282.05,283.38,282.2,282.5,282.05,
9.data.16,9,1490778000,,1028.94,0,3.28,7.41,117,8,282.2,282.2,282.2,282.2,282.2,282.2,
10.data.0,10,1489420800,,776.72,90,16.11,0.16,111,36,284.63,282.82,284.63,282.82,284.63,284.63,
10.data.1,10,1489507200,5.74,778.43,85,16.28,0.05,74,24,289.96,281.33,289.96,284.63,289.7,281.33,
10.data.2,10,1489593600,2.39,778.09,74,16.31,0.22,23,24,290.48,282.32,290.76,286.56,289.95,282.32,
10.data.3,10,1489680000,3.27,907.74,0,16.03,0.7,291,30,297.63,292.33,297.63,292.33,296.25,292.53,
10.data.4,10,1489766400,2.08,908.18,0,16.07,0.86,292,19,298.61,292.22,298.61,292.22,296.31,292.3,
10.data.5,10,1489852800,2.8,907.52,0,15.78,1.09,316,25,298.91,291.55,298.91,291.55,295.64,292.25,
10.data.6,10,1489939200,5.7,907.02,0,16.34,0.63,308,41,298.15,291.77,298.15,292.55,295.68,291.77,
10.data.7,10,1490025600,2.15,906.96,0,16.34,0.58,351,40,297.8,292.01,297.8,292.01,295.65,292.52,
10.data.8,10,1490112000,4.37,906.93,0,16.34,0.35,301,46,296.29,292.17,296.29,292.24,294.47,292.17,
10.data.9,10,1490198400,6.68,906.5,0,16.34,0.11,271,42,296.46,292.15,296.46,292.53,294.05,292.15,
10.data.10,10,1490284800,3.87,905.97,0,16.34,0.54,35,49,296.87,292.71,296.87,292.96,294.75,292.71,
10.data.11,10,1490371200,6.86,906.2,0,16.34,0.48,331,28,296.91,292.64,296.91,292.66,294.31,292.64,
10.data.12,10,1490457600,4.42,905.76,0,16.34,0.77,32,18,298.47,292.72,298.47,292.72,294.04,293.4,
10.data.13,10,1490544000,4.13,907.24,0,16.34,0.49,48,36,297.78,291.9,297.78,291.9,295.35,293.27,
10.data.14,10,1490630400,2.75,907.41,0,16.34,0.42,5,39,297.46,292.3,297.46,292.3,295.19,292.7,
10.data.15,10,1490716800,4.08,906.98,0,16.34,0.73,311,31,296.65,292.88,296.65,294.75,294.75,292.88,
11.data.0,11,1489395600,,1020.02,0,1.64,1.95,157,13,276.88,263.99,276.88,263.99,267.84,268.34,
11.data.1,11,1489482000,,1021.96,80,1.59,2.08,114,8,278.19,263.64,279.84,269.1,277.61,263.64,
11.data.2,11,1489568400,,1015.92,82,1.75,5.11,187,0,274.47,266.78,277.6,273.45,275.63,266.78,0.15
11.data.3,11,1489654800,0.22,1006.98,89,2.06,5.11,192,92,276.09,272.41,276.97,273.26,276.33,272.41,1.23
11.data.4,11,1489741200,1.46,1007,0,1.75,0.86,302,66,277.3,268.16,277.3,268.16,271.71,274.43,0.9
11.data.5,11,1489827600,,1003.29,0,1.76,7.69,197,9,279.6,272.59,279.6,272.59,275.71,273.82,
11.data.6,11,1489914000,2.21,998.68,0,1.91,9.79,190,23,279.92,274.1,279.92,277.58,277.55,274.1,
11.data.7,11,1490000400,5.88,999.98,0,1.91,7.32,178,99,278.22,277.05,278.22,277.05,277.2,277.5,
11.data.8,11,1490086800,0.49,1004.43,0,1.91,7.62,177,71,281.32,277.72,281.32,277.72,278.99,278.16,
11.data.9,11,1490173200,0.83,1007.54,0,1.91,4.6,124,72,280.55,275.5,280.55,275.5,277.11,277.54,
11.data.10,11,1490259600,2.96,1008.81,0,1.91,4.43,92,73,279.31,275.08,279.31,276.1,278.12,275.08,1.16
11.data.11,11,1490346000,2.77,1016.44,0,1.91,5.92,71,75,278.49,275.56,278.49,275.56,276.96,277.21,
11.data.12,11,1490432400,,1017.04,0,1.91,1.89,108,43,279.65,270.59,279.65,270.59,274.27,275.96,0
11.data.13,11,1490518800,0.4,1012.81,0,1.91,0.69,54,11,282.07,274.8,282.07,274.8,276.33,276.47,
11.data.14,11,1490605200,1.44,1011.94,0,1.91,6.44,73,99,276.35,269.64,277.55,269.64,273.66,277.55,1.66
11.data.15,11,1490691600,,1025.25,0,1.91,4.41,84,5,276.68,265.55,276.68,265.55,269.8,270.25,0
11.data.16,11,1490778000,,1028.12,0,1.91,0.98,103,0,265.55,265.55,265.55,265.55,265.55,265.55,
12.data.0,12,1489395600,14.4,887.48,0,5.38,1.23,267,41,284.88,275.51,284.88,275.51,278.14,282.72,
12.data.1,12,1489482000,,871.84,86,5.58,1.23,273,0,282.42,271.95,282.42,271.95,279.06,274.95,0.01
12.data.2,12,1489568400,,871.15,73,5.66,1.06,216,8,284.07,273.88,284.07,274.15,280.18,273.88,0.01
12.data.3,12,1489654800,28.62,868.29,100,6.03,0.41,135,92,276.29,273.16,277.23,273.16,275.83,275.06,2.22
12.data.4,12,1489741200,,893.11,0,6.26,1.29,196,53,285.2,271.86,285.2,271.86,276.41,280.18,
12.data.5,12,1489827600,12.82,886.76,0,5.03,1.37,126,99,285.75,277.19,285.75,277.19,280.91,282.07,
12.data.6,12,1489914000,0.44,886.41,0,5.79,1.53,216,15,284.87,271.23,284.87,271.23,274.6,281.95,
12.data.7,12,1490000400,2.47,889.74,0,5.79,1.24,280,34,283.17,272.55,283.17,272.55,275.8,280.7,
12.data.8,12,1490086800,2.36,890.95,0,5.79,1.33,287,30,283.97,274.17,283.97,274.17,275.99,280.71,
12.data.9,12,1490173200,8.05,894.87,0,5.79,1.67,203,35,284.15,279.06,284.15,279.15,279.06,280.74,
12.data.10,12,1490259600,2.06,891.48,0,5.79,3.15,189,75,287.36,276.1,287.36,276.1,280.57,284.73,
12.data.11,12,1490346000,4.44,890.8,0,5.79,1.08,165,48,288.69,278.66,288.69,278.66,282.06,284.21,
12.data.12,12,1490432400,6.18,891.6,0,5.79,1.62,199,33,288.15,278.79,288.15,278.79,280.97,283.66,
12.data.13,12,1490518800,9.24,891.22,0,5.79,1.42,188,90,288.37,280.58,288.37,281.7,280.58,286.47,
12.data.14,12,1490605200,15.04,886.1,0,5.79,1.29,232,30,284,277.49,284,277.49,277.91,283.85,
12.data.15,12,1490691600,10.25,891.7,0,5.79,1.24,226,55,283.03,275,283.03,275,278.75,281,
12.data.16,12,1490778000,,895.59,0,5.79,0.95,66,17,275,275,275,275,275,275,
13.data.0,13,1489395600,,1017.38,0,1.62,1.66,208,36,277.68,265.39,277.68,265.39,269.14,269.32,
13.data.1,13,1489482000,,1019.69,100,1.59,0.48,86,32,276.8,266.05,277.6,266.05,274.81,269.72,
13.data.2,13,1489568400,,1011.31,97,1.77,3.81,189,0,274.62,264.23,277.15,275.3,276.23,264.23,0.02
13.data.3,13,1489654800,0.38,1003.74,100,2.04,1.71,228,80,275.19,268.01,275.97,268.01,274.63,274.66,0.79
13.data.4,13,1489741200,0.23,1004.37,0,1.76,1.6,231,13,279.35,270.26,279.35,270.26,272.76,273.58,
13.data.5,13,1489827600,0.89,998.02,0,1.77,8.31,191,87,279,274.52,279,275.44,276.41,274.52,
13.data.6,13,1489914000,6.5,992.4,0,1.9,11.03,190,80,279.22,275.3,279.22,279.08,278.25,275.3,0
13.data.7,13,1490000400,7.56,994.72,0,1.9,7.09,183,98,280.37,277.7,280.37,277.7,278.55,279.55,
13.data.8,13,1490086800,4.49,1000.78,0,1.9,5.98,186,98,280.02,278.21,280.02,278.42,279.14,278.21,
13.data.9,13,1490173200,0.92,1006.12,0,1.9,4.23,106,99,279.65,275.25,279.65,275.25,277.41,278.39,0.01
13.data.10,13,1490259600,2.63,1009.22,0,1.9,8.1,51,86,276.81,274.28,276.81,275.8,276.07,274.28,0.82
13.data.11,13,1490346000,1.31,1016.44,0,1.9,7.62,49,49,278.64,273.96,278.64,273.96,275.51,275.91,0.08
13.data.12,13,1490432400,0.62,1015.01,0,1.9,1.78,142,68,278.9,270.59,278.9,270.59,274.37,275.11,0.02
13.data.13,13,1490518800,1.62,1010.58,0,1.9,1.01,302,16,281.22,275.05,281.22,275.05,276.68,276.22,
13.data.14,13,1490605200,0.47,1011.33,0,1.9,5.78,72,93,275.55,268.44,275.55,268.44,272.66,275.45,0.32
